,step02h_eqparamA,step02t_eqparamA,step03h_eqparamA,step03t_eqparamA,step04h_eqparamA,step04t_eqparamA,step05h_eqparamA,step05t_eqparamA,step08h_eqparamA,step10h_eqparamA,step12h_eqparamA,system_eqparamA,step01at_eqparamB,step01bt_eqparamB,step02t_eqparamB,step04t_eqparamB,step05t_eqparamB,step01h_reagparamA,step01at_reagparamA,step01bt_reagparamA,step03h_reagparamB,step03t_reagparamB,system_eqparamC,system_reageparamC,system_eqparamD,system_state,system_result
188,13.27783207,8.729942963,21.28643927,17.13714964,17.61443812,6.106048813999999,12.45956295,5.088511585,10.4284095,11.10791732,9.915750064,30.754642800000003,1.0628827570000001,0.9949680790000001,2.364891711,1.0560075820000001,0.873837877,26.0,4.5,6.283663261,350.0,350.0,7.0,8.157814492,6.234884687999999,76.74372173,Good
50,14.26996167,9.064859918,20.90978819,18.44713172,9.019006766,3.621583895,8.918707339,2.0,6.781603101,7.138809404,6.277545972,27.53492986,1.240193899,0.751042471,1.660509026,0.6316289429999999,0.616443782,24.11754329,2.126793785,2.1267231769999997,276.3267409,224.1090981,5.0,6.950253582999999,4.899226027,27.01502056,Bad
425,13.96291301,10.22634513,21.57861675,19.47942169,11.57863227,2.191108837,11.49112966,2.112423993,11.36528123,12.31731521,13.56508708,26.80646047,1.5253445019999998,1.597865546,2.237879097,0.661698177,0.706410665,35.72527645,3.9575695310000003,3.95763099,339.0369413,324.1095724,6.0,7.334464354,4.611271218,41.38183598,Good
347,6.62676712,4.5019769069999995,17.54335194,15.22915556,9.999675058,1.348931061,6.984671896,1.3935520630000002,9.560394702,9.234987431,10.15677184,21.77143491,0.82567096,1.311118403,2.15462024,0.618328443,0.8217292829999999,30.0,4.900000095,4.900000095,350.0,309.9172845,6.0,6.802442647,5.291178511,68.87061894,Good
124,16.27276673,12.63866618,23.37627188,19.13332757,16.31138006,3.996247537,18.15033411,6.967803559,7.387267455,7.604955188,8.454318358,38.39244441,1.67007664,1.021962424,2.735212116,1.108540765,0.848463297,33.17757985,2.154881816,2.154819846,300.0,300.0,8.030312744,6.710122512000001,5.322309646,130.7995904,Good
215,8.567750241,4.273485185,7.092402084,12.68895098,4.977833519,1.6934535240000002,5.6883688889999995,1.8679651730000002,7.274661956,8.916102141,8.610169485,29.81701485,1.252116348,1.258249595,2.3713242390000002,0.881472867,0.818329161,20.01386201,3.848396035,4.263129062,251.2297355,251.2383784,6.0,6.88698751,4.559469943,14.72667014,Good
221,10.11080226,5.940241447000001,19.39881076,15.84667976,15.88940166,3.691824734,9.424019446,4.0383651910000005,10.82993527,11.19299161,10.77392981,27.90398645,1.235752372,1.227849212,2.21142233,0.6775900779999999,0.884561383,25.67564684,1.617091725,1.617153443,350.0,350.0,6.0,6.903055179,4.535960996,76.35459532,Warning
82,14.52404782,11.34347013,21.66770062,19.39156191,7.914012197000001,2.7557870089999996,8.946623876,2.8183857710000004,7.359375986,7.4416055629999995,7.169822485,30.61373191,1.640314841,1.2042300259999998,2.222407784,0.85508364,0.595169828,31.90430583,3.92630009,3.926238195,310.7735548,310.7735548,7.570747431,7.334303289,5.844027071,42.21730605,Bad
24,16.64393316,12.99779161,20.70721956,18.17771712,18.97729631,6.009298976,15.12474723,4.924279396,6.609559803,8.614280903,7.432317621,29.15770571,1.360448265,0.9268867709999999,1.9803026680000002,0.49010507200000003,0.6072219560000001,24.16737507,4.0,4.0,436.0403834,436.0428246,6.678175369,7.299979907000001,6.507713664,38.862246,Bad
440,17.16193127,12.74718502,23.72229685,19.72334398,17.68296122,3.7869801560000003,17.07366402,6.886466215,10.83313786,11.80859549,11.50671263,33.47507042,1.5796431069999999,1.6006354740000002,2.4048303580000003,0.7497267470000001,0.7247152929999999,22.51606845,2.217438519,2.217339485,350.0,345.134295,6.158627598,7.0201663629999995,4.845638346,106.53489640000002,Good
355,10.52878576,5.592763907,21.61118687,16.79200471,17.11479096,6.529060216,12.81874594,5.244164448,8.398137716,8.454232618999999,7.957668312999999,26.07647579,1.12525425,1.7107502730000002,2.303769909,0.741000412,0.702944247,27.0,4.900000095,4.900000095,350.0,325.53047260000005,6.0,7.12018972,4.203113295,114.01497990000001,Good
8,13.73998345,9.731702702,18.15573865,15.152823300000001,13.19613736,3.9386140860000003,10.79906859,3.169777182,6.852903559,4.635242777,5.265988339,33.59190306,1.2281213009999998,0.967888188,2.230322198,0.6962464140000001,0.598148379,21.97784663,7.118949617999999,7.372995561000001,244.1351057,260.9057309,6.417536713,7.083248755,5.396857343,39.00827939,Bad
439,15.79689914,10.34501425,23.33354764,19.07892518,16.47622163,3.0,16.08346036,5.201949745,10.37322664,11.25666421,12.62663556,32.48116768,1.481222303,1.543268607,2.307501874,0.756629448,0.714871163,32.63467181,3.871459867,3.871477055,350.0,337.63600310000004,6.0,7.129106147000001,4.866394715,91.33104686,Good
53,12.59079595,7.4801933279999995,22.62831276,18.94773128,8.322190724,1.3654465,12.06404721,1.6221567430000001,7.535356497,8.0,7.868738327000001,26.69555341,1.553720639,1.003737189,1.9606678469999999,0.985005274,0.606583994,12.0,0.0,0.0,300.0,300.0,5.0,7.170841093,3.992303355,49.61292993,Good
27,16.14986571,12.60510412,21.21233091,17.52949816,15.715147199999999,3.964119135,14.22902806,3.3836776680000002,5.974974344,9.833329617999999,6.238518854,29.33255603,1.425701704,1.089844347,2.105261664,0.64365503,0.620073395,10.0,4.0,4.0,450.0,450.0,7.0,6.976365169,6.272279882,80.44781693,Bad
16,13.92989786,11.71874281,21.29347922,18.16804416,17.38824845,4.373220932,14.77193421,3.2528146810000003,10.93159627,9.555578067,8.33960485,32.67550119,1.109235894,0.826694783,2.13136059,0.6751062409999999,0.636097558,18.70416737,4.0,3.577213883,300.0,300.0,5.0,6.8144471829999995,5.496163281,110.68089009999998,Bad
397,9.404149225,7.92396191,18.12864295,15.91281196,14.23586013,2.78437112,10.06047393,2.683461886,9.325059407000001,10.018945599999999,10.55064125,28.25560423,1.454893398,1.632215341,2.263580249,0.652851452,0.7998477420000001,30.37498812,3.6322881160000002,3.8232454989999995,307.2760747,307.2179672,6.0,6.862265774,5.2557806639999995,74.00311514,Good
104,16.25390283,14.25331542,21.1404039,18.48321745,9.273507327999999,3.895689397,11.11425576,3.8949706010000003,6.994110905,7.455857706000001,7.727928853,42.27826427,1.44057349,0.910369561,2.285326033,0.8253712440000001,0.609161385,24.61048696,0.0,0.0,300.0,281.52788530000004,9.0,6.964816989,6.513702723,67.77431717,Good
32,16.43522368,13.23821172,23.0,20.08225947,17.67260337,4.452580509,13.15612271,2.7462939,6.614754629,8.788471551,7.601080231,33.94225585,1.322864373,0.946798082,2.158181023,0.5341722289999999,0.603343999,10.44194181,4.0,4.0,350.0,350.0,8.0,6.947866441,6.1967541960000005,78.99682231,Bad
22,15.36955451,13.03673214,21.13876964,17.81200562,13.98497539,4.2020275289999995,12.93192391,4.02773261,7.704018276,10.18949824,9.511465626,32.17801583,1.452445975,1.097078582,2.164340134,0.659268185,0.658464271,10.0,4.832236343,5.155607072,400.0,400.0,7.0,7.267278938,6.327331934,47.33292121,Bad
371,10.23198487,8.246869942,24.43959013,21.17146315,15.34619607,2.675850208,13.93975441,3.7298964530000003,11.54454049,11.56686657,11.56304881,25.93139065,1.411305197,1.303914791,2.179843591,0.7431446340000001,0.710439048,25.68456042,5.0,5.0,352.8666652,351.7417384,6.0,6.997613427999999,4.523168723,96.32914839,Warning
264,19.5050509,13.84349936,22.36713051,16.72927819,16.64146796,6.838508084,15.03758291,3.822727378,10.42787032,12.0,10.19907067,42.97037969,0.9234180129999999,1.357747169,2.847630451,0.9869731429999999,0.820570309,30.0,5.0,5.0,132.2192225,0.0,8.0,6.996334349,6.766003477999999,102.4394521,Bad
285,10.0442784,10.72295567,21.08461372,17.0,13.45406265,3.847145179,11.34707887,4.340630104,8.784822518,11.03763434,10.73086623,29.04198427,0.726896219,1.4924912869999998,1.8729217830000002,0.48144294600000004,0.487370962,26.0,5.0,5.0,246.3451002,316.5949265,7.369785305,7.208588872999999,5.217906993,236.63543430000004,Bad
305,13.14357226,11.07435041,26.85980369,22.681353100000003,19.44293618,3.97190971,13.90556697,2.676867751,10.7301754,12.54770957,12.0,31.17314915,1.141388633,1.802226053,2.145218635,0.71780339,0.8700781390000001,33.81671786,5.0,5.0,292.7503955,218.0433661,8.033756358,6.761296349,5.883349485,115.06075009999999,Good
265,17.15763566,11.59701959,23.40699499,17.78241458,16.25054011,5.725937641,16.19003209,4.548493672,10.88644647,12.0,11.62340167,45.69775019,0.862240714,1.286725495,3.031170512,1.053687425,0.839187838,34.71322896,5.0,5.0,92.10614729,0.0,8.0,7.09419111,6.479703151,157.064549,Warning
35,16.21160795,13.08802864,21.48019702,18.41684399,13.58892735,3.4724285189999997,12.8016236,3.276854722,6.557358016,7.0613635189999995,8.181990067000001,34.66406918,1.081607296,0.678756186,2.171149198,0.665716389,0.666451847,18.32624611,4.0,4.0,323.8825434,323.1213052,7.2853149020000005,7.287033312,7.047072839,189.611829,Bad
167,9.23979384,4.899980789,21.39438434,16.29986794,17.48420357,3.149708064,15.69975749,4.13166815,10.57276963,13.36742737,12.33239639,27.61050364,1.234140781,1.019501918,1.991882379,0.62977202,0.77410215,28.0,0.0,0.0,441.19744479999997,395.61018870000004,6.0,7.078365945,4.989621525,101.5133677,Bad
19,16.07345778,11.5251741,22.27181332,18.32347192,15.03046092,4.246804213,14.66876569,3.317993721,7.2997187729999995,9.691735909,7.314418067999999,33.01954905,1.301998483,0.8996169940000001,2.1688174609999997,0.656292856,0.622856988,10.30673732,3.869849925,4.20548713,450.0,450.0,6.0,7.058501559,6.599431377999999,101.9209079,Good
